DATE_TIME,current_contract,next_contract,carry_contract
2021-05-24 23:00:00,20210500,20210600,20210600
2021-06-23 23:00:00,20210600,20210700,20210700
2021-07-23 23:00:00,20210700,20210800,20210800
2021-08-23 23:00:00,20210800,20210900,20210900
2021-09-23 23:00:00,20210900,20211000,20211000
2021-10-22 23:00:00,20211000,20211100,20211100
2021-11-23 23:00:00,20211100,20211200,20211200
2021-12-23 23:00:00,20211200,20220100,20220100
2022-01-24 23:00:00,20220100,20220200,20220200
2022-02-23 23:00:00,20220200,20220300,20220300
2022-03-23 23:00:00,20220300,20220400,20220400
2022-04-22 23:00:00,20220400,20220500,20220500
2022-05-23 23:00:00,20220500,20220600,20220600
2022-06-23 23:00:00,20220600,20220700,20220700
2022-07-22 23:00:00,20220700,20220800,20220800
2022-08-23 23:00:00,20220800,20220900,20220900
2022-09-23 23:00:00,20220900,20221000,20221000
2022-10-24 23:00:00,20221000,20221100,20221100
2022-11-23 23:00:00,20221100,20221200,20221200
2022-12-23 23:00:00,20221200,20230100,20230100
2023-01-23 23:00:00,20230100,20230200,20230200
2023-02-23 23:00:00,20230200,20230300,20230300
2023-03-23 23:00:00,20230300,20230400,20230400
2023-04-24 23:00:00,20230400,20230500,20230500
2023-05-23 23:00:00,20230500,20230600,20230600
2023-06-23 23:00:00,20230600,20230700,20230700
2023-07-24 23:00:00,20230700,20230800,20230800
2023-08-23 23:00:00,20230800,20230900,20230900
2023-09-22 23:00:00,20230900,20231000,20231000
2023-10-23 23:00:00,20231000,20231100,20231100
2023-11-22 23:00:00,20231100,20231200,20231200
2023-12-22 23:00:00,20231200,20240100,20240100
2024-01-23 23:00:00,20240100,20240200,20240200
2024-02-23 23:00:00,20240200,20240300,20240300
2024-03-22 23:00:00,20240300,20240400,20240400
2024-04-23 23:00:00,20240400,20240500,20240500
2024-05-23 23:00:00,20240500,20240600,20240600
2024-06-24 23:00:00,20240600,20240700,20240700
2024-07-23 23:00:00,20240700,20240800,20240800
2024-08-23 23:00:00,20240800,20240900,20240900
2024-09-23 23:00:00,20240900,20241000,20241000
2024-10-23 23:00:00,20241000,20241100,20241100
